n,lf model,hf iter,lf iter,mf iter,mf score,mf mass,mf EI,hf score,hf mass,hf EI,lf score,lf mass,lf EI,hf time,lf time,mf time,sparse
1,equiv_cant,20,20,400,1.475429865,0.085902825,4184928.579,1.043323506,0.095423162,5133732.858,,,,10.51578999,5.531564236,511.3152492,FALSE
1,unit,20,20,400,35.85635472,0.030396059,271547.5812,3.05262322,0.053031245,2500255.042,,,,10.9628098,7.795367002,512.5857902,FALSE
1,equiv_cant,20,50,50,0.466476443,0.121752039,7436468.002,1.466305092,0.100657099,4227171.595,,,,7.342189074,11.10727406,22.4979949,FALSE
1,equiv_cant,20,50,100,10000000000,0.042645416,nan,1.047066904,0.067971681,5052813.977,,,,9.330237865,10.91866803,57.23478603,FALSE
1,unit,20,50,100,2.198396554,0.048385753,3174592.29,3.870517463,0.064920503,2080906.926,,,,10.1427691,19.70042205,27.07154083,FALSE
1,equiv_cant,20,50,200,1.198586573,0.087667416,4737272.846,1.198586573,0.087667416,4737272.846,,,,8.345735788,10.60735083,97.27434206,FALSE
1,unit,20,50,200,3.093964147,0.071184789,2485843.521,1.328245622,0.067471436,4423263.527,,,,11.89147091,20.08492088,125.5934751,FALSE
1,equiv_cant,20,50,400,132.4853757,0.071157426,74954.52981,3.80080413,0.076795005,2116846.038,,,,7.477101088,13.95753098,394.3925261,FALSE
1,unit,20,50,400,3.53663467,0.0404189,2224092.551,2.762079967,0.100673664,2731191.016,,,,9.878255844,17.08695197,544.8345222,FALSE
1,equiv_cant,20,100,50,3.108087149,0.059751581,2470150.963,3.108087149,0.059751581,2470150.963,,,,7.869354963,26.68755412,20.27191401,FALSE
1,unit,20,100,50,1000000000,0.053152232,nan,4.776563794,0.076449158,1754350.682,,,,6.920423985,35.24874401,21.85190201,FALSE
1,equiv_cant,20,100,100,1.417094792,0.096550216,4309333.292,1.417094792,0.096550216,4309333.292,,,,9.219745159,27.29242396,75.52301502,FALSE
1,unit,20,100,100,0.986248945,0.090026087,5273641.735,0.899114265,0.090528341,5529181.592,,,,8.020804882,46.95253515,49.68621802,FALSE
1,equiv_cant,20,100,200,10000000000,0.046446756,nan,2.527402664,0.048971709,2874859.421,,,,9.139916182,26.06194091,109.54877,FALSE
1,unit,20,100,200,9.687898357,0.052327759,940241.0438,2.73664391,0.086360368,2739513.215,,,,9.673140049,39.886976,131.08687,FALSE
1,equiv_cant,20,100,400,2.091715806,0.098689082,3341099.469,2.091715806,0.098689082,3341099.469,,,,7.59475565,27.6593821,311.3607709,FALSE
1,unit,20,100,400,6.447481064,0.059014357,1353460.792,2.348994207,0.059070967,3039584.595,,,,7.22670126,35.75992489,405.805748,FALSE
1,equiv_cant,20,200,50,3.069952182,0.041788258,2482520.619,3.069952182,0.041788258,2482520.619,,,,9.182372808,71.724406,26.19763923,FALSE
1,unit,20,200,50,1.879715859,0.059893229,3546322.344,1.879715859,0.059893229,3546322.344,,,,8.725739956,103.8144479,27.95490909,FALSE
1,unit,20,200,100,9.417216605,0.058403801,965361.5901,2.488423133,0.065767031,2921707.499,,,,9.358718872,105.7424951,49.57942891,FALSE
1,equiv_cant,20,200,200,8.156189104,0.052413667,1098445.372,4.377541868,0.048665724,1876568.291,,,,12.66737986,73.67471838,167.752213,FALSE
1,unit,20,200,200,1.859707565,0.097996851,3620944.059,1.859707565,0.097996851,3620944.059,,,,10.01788783,99.44035482,125.6968682,FALSE
1,equiv_cant,20,200,400,2.639603067,0.086934406,2814785.434,2.639603067,0.086934406,2814785.434,,,,7.526014328,79.77209687,508.427881,FALSE
1,unit,20,200,400,10000000000,0.060029437,nan,3.405002427,0.04105413,2291502.859,,,,7.316818953,115.046685,474.1628041,FALSE
1,equiv_cant,50,20,50,8.114217782,0.041006867,1102145.656,2.599327781,0.078652186,2840363.939,,,,17.84733796,5.115936041,17.89794993,FALSE
1,unit,50,20,50,0.624382914,0.108736874,6597846.551,0.624382914,0.108736874,6597846.551,,,,23.59984493,8.021323919,19.0252049,FALSE
1,equiv_cant,50,20,100,5.458012618,0.079300169,1567714.5,2.013618434,0.076974793,3405248.039,,,,21.42221284,5.005831242,50.500422,FALSE
1,unit,50,20,100,3.018869703,0.061260347,2526777.936,1.408286868,0.083356897,4301204.822,,,,25.06757712,6.738549948,77.68960094,FALSE
1,equiv_cant,50,20,200,1.375154789,0.068053416,4334443.26,0.82481792,0.094692433,5779927.568,,,,25.35676813,4.227934122,148.1046848,FALSE
1,unit,50,20,200,3.517260106,0.055264854,2241149.852,3.517260106,0.055264854,2241149.852,,,,19.43734503,7.057707071,112.528568,FALSE
1,equiv_cant,50,20,400,2.266104053,0.04668096,3106146.571,3.584437671,0.05926375,2209859.814,,,,27.84930897,5.308245897,564.889791,FALSE
1,unit,50,20,400,4.849580311,0.053548158,1725318.241,2.532783823,0.109105697,2920835.321,,,,21.66794109,5.60626936,545.3153727,FALSE
1,equiv_cant,50,50,50,5.864783706,0.055863128,1468661.572,1.091419537,0.099468449,5020203.587,,,,20.35267186,14.86960888,37.5540309,FALSE
